layer_type                 , num_layers, num_weights       , num_inputs, num_outputs, num_macs , cycles, input_data_elements, output_data_elements, bw_in_elements_per_cycle, bw_out_elements_per_cycle, bw_total_elements_per_cycle, macs_status, input_shape                                 , output_shape       , batch_size, layer_name
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_23
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.13.conv1 + layer3.13.bn1 + layer3.13.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.13.conv2 + layer3.13.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.13.conv3 + layer3.13.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_24
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.14.conv1 + layer3.14.bn1 + layer3.14.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.14.conv2 + layer3.14.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.14.conv3 + layer3.14.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_25
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.15.conv1 + layer3.15.bn1 + layer3.15.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.15.conv2 + layer3.15.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.15.conv3 + layer3.15.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_26
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.16.conv1 + layer3.16.bn1 + layer3.16.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.16.conv2 + layer3.16.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.16.conv3 + layer3.16.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_27
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.17.conv1 + layer3.17.bn1 + layer3.17.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.17.conv2 + layer3.17.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.17.conv3 + layer3.17.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_28
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.18.conv1 + layer3.18.bn1 + layer3.18.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.18.conv2 + layer3.18.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.18.conv3 + layer3.18.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_29
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.19.conv1 + layer3.19.bn1 + layer3.19.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.19.conv2 + layer3.19.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.19.conv3 + layer3.19.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_30
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.20.conv1 + layer3.20.bn1 + layer3.20.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.20.conv2 + layer3.20.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.20.conv3 + layer3.20.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_31
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.21.conv1 + layer3.21.bn1 + layer3.21.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.21.conv2 + layer3.21.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.21.conv3 + layer3.21.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_32
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.22.conv1 + layer3.22.bn1 + layer3.22.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.22.conv2 + layer3.22.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.22.conv3 + layer3.22.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_33
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.23.conv1 + layer3.23.bn1 + layer3.23.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.23.conv2 + layer3.23.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.23.conv3 + layer3.23.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_34
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.24.conv1 + layer3.24.bn1 + layer3.24.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.24.conv2 + layer3.24.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.24.conv3 + layer3.24.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_35
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.25.conv1 + layer3.25.bn1 + layer3.25.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.25.conv2 + layer3.25.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.25.conv3 + layer3.25.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_36
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.26.conv1 + layer3.26.bn1 + layer3.26.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.26.conv2 + layer3.26.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.26.conv3 + layer3.26.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_37
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.27.conv1 + layer3.27.bn1 + layer3.27.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.27.conv2 + layer3.27.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.27.conv3 + layer3.27.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_38
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.28.conv1 + layer3.28.bn1 + layer3.28.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.28.conv2 + layer3.28.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.28.conv3 + layer3.28.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_39
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.29.conv1 + layer3.29.bn1 + layer3.29.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.29.conv2 + layer3.29.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.29.conv3 + layer3.29.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_40
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.30.conv1 + layer3.30.bn1 + layer3.30.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.30.conv2 + layer3.30.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.30.conv3 + layer3.30.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_41
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.31.conv1 + layer3.31.bn1 + layer3.31.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.31.conv2 + layer3.31.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.31.conv3 + layer3.31.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_42
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.32.conv1 + layer3.32.bn1 + layer3.32.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.32.conv2 + layer3.32.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.32.conv3 + layer3.32.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_43
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.33.conv1 + layer3.33.bn1 + layer3.33.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.33.conv2 + layer3.33.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.33.conv3 + layer3.33.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_44
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.34.conv1 + layer3.34.bn1 + layer3.34.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.34.conv2 + layer3.34.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.34.conv3 + layer3.34.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_45
Conv2d + BatchNorm2d + ReLU,          3, 262144 + 512 + 0  ,     200704,       50176,  51380224, 401408,            463360.0,                50176,                         ,                          ,         1.2793367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 256, 14, 14)" ,          1, layer3.35.conv1 + layer3.35.bn1 + layer3.35.relu
Conv2d + BatchNorm2d       ,          2, 589824 + 512      ,      50176,       50176, 115605504, 903168,            640512.0,                50176,                         ,                          ,         0.7647392290249434 , ok         , "(1, 256, 14, 14)"                          , "(1, 256, 14, 14)" ,          1, layer3.35.conv2 + layer3.35.bn2
Conv2d + BatchNorm2d       ,          2, 262144 + 2048     ,      50176,      200704,  51380224, 401408,            314368.0,               200704,                         ,                          ,         1.2831632653061225 , ok         , "(1, 256, 14, 14)"                          , "(1, 1024, 14, 14)",          1, layer3.35.conv3 + layer3.35.bn3
ResidualAdd                ,          1, 0                 ,     401408,      200704,    200704,   1568,            401408.0,               200704,                         ,                          ,       384.0                , ok         , "['(1, 1024, 14, 14)', '(1, 1024, 14, 14)']", "(1, 1024, 14, 14)",          1, residual_add_46
Conv2d + BatchNorm2d + ReLU,          3, 524288 + 1024 + 0 ,     200704,      100352, 102760448, 802816,            726016.0,               100352,                         ,                          ,         1.0293367346938775 , ok         , "(1, 1024, 14, 14)"                         , "(1, 512, 14, 14)" ,          1, layer4.0.conv1 + layer4.0.bn1 + layer4.0.relu
Conv2d + BatchNorm2d       ,          2, 2359296 + 1024    ,     100352,       25088, 115605504, 903168,           2460672.0,                25088,                         ,                          ,         2.752267573696145  , ok         , "(1, 512, 14, 14)"                          , "(1, 512, 7, 7)"   ,          1, layer4.0.conv2 + layer4.0.bn2
Conv2d + BatchNorm2d       ,          2, 1048576 + 4096    ,      25088,      100352,  51380224, 401408,           1077760.0,               100352,                         ,                          ,         2.934948979591837  , ok         , "(1, 512, 7, 7)"                            , "(1, 2048, 7, 7)"  ,          1, layer4.0.conv3 + layer4.0.bn3
Conv2d + BatchNorm2d       ,          2, 2097152 + 4096    ,     200704,      100352, 102760448, 802816,           2301952.0,               100352,                         ,                          ,         2.99234693877551   , ok         , "(1, 1024, 14, 14)"                         , "(1, 2048, 7, 7)"  ,          1, layer4.0.downsample.0 + layer4.0.downsample.1
ResidualAdd                ,          1, 0                 ,     200704,      100352,    100352,    784,            200704.0,               100352,                         ,                          ,       384.0                , ok         , "['(1, 2048, 7, 7)', '(1, 2048, 7, 7)']"    , "(1, 2048, 7, 7)"  ,          1, residual_add_47
Conv2d + BatchNorm2d + ReLU,          3, 1048576 + 1024 + 0,     100352,       25088,  51380224, 401408,           1149952.0,                25088,                         ,                          ,         2.927295918367347  , ok         , "(1, 2048, 7, 7)"                           , "(1, 512, 7, 7)"   ,          1, layer4.1.conv1 + layer4.1.bn1 + layer4.1.relu
Conv2d + BatchNorm2d       ,          2, 2359296 + 1024    ,      25088,       25088, 115605504, 903168,           2385408.0,                25088,                         ,                          ,         2.6689342403628116 , ok         , "(1, 512, 7, 7)"                            , "(1, 512, 7, 7)"   ,          1, layer4.1.conv2 + layer4.1.bn2
