# pseudo_MSE2 hardware test vectors
# seed=42
# bit_widths=8,7,6,5,4
# num_chunks_per_bit_width=100
# chunk_size=128
# e2_win_divisor=4
# signedness: sgn=1 for every section in this file
# chunk scale source: DynamicInputQuantizer._chunk_scale(raw_chunk)
# chunk scale definition: pow2_floor(max(abs(raw_chunk))) with 1.0 for all-zero chunks
# metric input: values are already scaled FP32 numbers (scaled_v)
# do not apply a chunk scale before feeding these values to the pseudo_MSE2 block
# decision rule: choose_exp2 if floor(expected_e2_wins / e2_win_divisor) >= expected_e1_wins else choose_exp1
# expected_error rows: selected chunk error matching expected_decision, as fp32_hex fp32_dec
# expected_e1_wins/expected_e2_wins rows: per-value pseudo_diff winners; ties are not counted
# expected_e2_wins_shifted row: floor(expected_e2_wins / e2_win_divisor), used only for expected_decision
# expected_e2_wins_shift2 row: legacy floor(expected_e2_wins / 4) diagnostic
# mantissa mode: truncate
# q_exp*_bits are packed sign/exponent/mantissa fields after pseudo_MSE2 quantization
# q_exp*_exp_field and q_exp*_mant_field are the stored exponent and mantissa fields as integers
# q_exp*_mant_bits are the stored mantissa fields as zero-padded binary strings
# err_exp*_pre_square = scaled-q_exp* for each value, before squaring
# chunk_diff_exp2_minus_exp1 is the signed sum of pseudo_diff values for debug; it does not drive expected_decision
# pseudo_diff_exp2_minus_exp1 is the bit-level pseudo err2-err1 signal for each value
# chunk max rows use max absolute value; *_value is the signed value at that index
# chunk max rows: chunk_max_abs_index value_index, chunk_max_abs_scaled_value scaled_fp32_hex scaled_fp32_dec, chunk_max_abs_scaled_abs scaled_abs_fp32_hex scaled_abs_fp32_dec
# value rows: value_index scaled_fp32_hex scaled_fp32_dec q_exp1_bits q_exp1_exp_field q_exp1_mant_field q_exp1_mant_bits q_exp2_bits q_exp2_exp_field q_exp2_mant_field q_exp2_mant_bits err_exp1_pre_square_fp32_hex err_exp1_pre_square_fp32_dec err_exp2_pre_square_fp32_hex err_exp2_pre_square_fp32_dec pseudo_diff_exp2_minus_exp1_fp32_hex pseudo_diff_exp2_minus_exp1_fp32_dec

BEGIN_BIT_WIDTH 8
sgn 1
exp1_format fp8_e1m6
exp2_format fp8_e2m5
m1 6
m2 5
BEGIN_CHUNK 0
err_exp1 0.009765625
err_exp2 0.041015625
chunk_diff_exp2_minus_exp1 160
expected_e1_wins 160
expected_e2_wins 0
expected_e2_wins_shifted 0
expected_e2_wins_shift2 0
expected_decision exp1
expected_error 0x3c200000 0.009765625
chunk_max_abs_index 127
chunk_max_abs_scaled_value 0xbfff8000 -1.99609375
chunk_max_abs_scaled_abs 0x3fff8000 1.99609375
# value_index scaled_fp32_hex scaled_fp32_dec q_exp1_bits q_exp1_exp_field q_exp1_mant_field q_exp1_mant_bits q_exp2_bits q_exp2_exp_field q_exp2_mant_field q_exp2_mant_bits err_exp1_pre_square_fp32_hex err_exp1_pre_square_fp32_dec err_exp2_pre_square_fp32_hex err_exp2_pre_square_fp32_dec pseudo_diff_exp2_minus_exp1_fp32_hex pseudo_diff_exp2_minus_exp1_fp32_dec
VALUES_BEGIN
111 0x3fdf734e 1.74570632 01101111 1 47 101111 01110111 3 23 10111 0x3c39a700 0.0113313198 0x3cdcd380 0.0269563198 0x40000000 2
112 0x3e7c306c 0.246278465 00001111 0 15 001111 00011111 0 31 11111 0x3c4306c0 0.0119034648 0x3b860d80 0.00409096479 0xc0000000 -2
113 0x3ffccea7 1.97505653 01111110 1 62 111110 01111111 3 31 11111 0x3bcea700 0.00630652905 0x3bcea700 0.00630652905 0x00000000 0
114 0xbd15eeb3 -0.0366045944 10000010 0 2 000010 10000100 0 4 00100 0xbbaf7598 -0.00535459444 0xbbaf7598 -0.00535459444 0x80000000 -0
115 0x3e0d0338 0.137707591 00001000 0 8 001000 00010001 0 17 10001 0x3c503380 0.0127075911 0x3ba06700 0.00489509106 0xc0000000 -2
116 0x3eff1a50 0.498247623 00011111 0 31 011111 00111111 1 31 11111 0x3c634a00 0.0138726234 0x3bc69400 0.00606012344 0xc0400000 -3
117 0xbc4b8597 -0.012421987 10000000 0 0 000000 10000001 0 1 00001 0xbc4b8597 -0.012421987 0xbb970b2e -0.00460948702 0xc0000000 -2
118 0xbf00b130 -0.502703667 10100000 0 32 100000 11000000 2 0 00000 0xbb313000 -0.00270366669 0xbb313000 -0.00270366669 0x00000000 0
119 0x3ec034ff 0.375404328 00011000 0 24 011000 00110000 1 16 10000 0x39d3fc00 0.000404328108 0x39d3fc00 0.000404328108 0x80000000 -0
120 0x3e6d81ca 0.231940418 00001110 0 14 001110 00011101 0 29 11101 0x3c581ca0 0.0131904185 0x3bb03940 0.00537791848 0xc0000000 -2
121 0xbfcf184e -1.61792922 11100111 1 39 100111 11110011 3 19 10011 0xbc0c2700 -0.0085542202 0xbcc61380 -0.0241792202 0x40000000 2
122 0xbf215050 -0.630131721 10101000 0 40 101000 11001000 2 8 01000 0xbba82800 -0.0051317215 0xbba82800 -0.0051317215 0x00000000 0
123 0x3f11a814 0.568970919 00100100 0 36 100100 01000100 2 4 00100 0x3bd40a00 0.00647091866 0x3bd40a00 0.00647091866 0x00000000 0
124 0xbfa1ee5a -1.26508641 11010000 1 16 010000 11101000 3 8 01000 0xbc772d00 -0.0150864124 0xbc772d00 -0.0150864124 0x00000000 0
125 0x3f6afc97 0.917916715 00111010 0 58 111010 01011010 2 26 11010 0x3c3f25c0 0.0116667151 0x3c3f25c0 0.0116667151 0x00000000 0
126 0x3fcc4aa4 1.59602785 01100110 1 38 100110 01110011 3 19 10011 0x3b154800 0.0022778511 0x3b154800 0.0022778511 0x00000000 0
127 0x3d432b19 0.047648523 00000011 0 3 000011 00000110 0 6 00110 0x3a4ac640 0.000773523003 0x3a4ac640 0.000773523003 0x80000000 -0
VALUES_END
END_CHUNK 85
BEGIN_CHUNK 86
err_exp1 0.00882111397
err_exp2 0.00870849285
chunk_diff_exp2_minus_exp1 -56
expected_e1_wins 19
expected_e2_wins 75
expected_e2_wins_shifted 18
expected_e2_wins_shift2 18
expected_decision exp1
expected_error 0x3c10866f 0.00882111397
chunk_max_abs_index 14
chunk_max_abs_scaled_value 0x3fe7f800 1.81225586
chunk_max_abs_scaled_abs 0x3fe7f800 1.81225586
# value_index scaled_fp32_hex scaled_fp32_dec q_exp1_bits q_exp1_exp_field q_exp1_mant_field q_exp1_mant_bits q_exp2_bits q_exp2_exp_field q_exp2_mant_field q_exp2_mant_bits err_exp1_pre_square_fp32_hex err_exp1_pre_square_fp32_dec err_exp2_pre_square_fp32_hex err_exp2_pre_square_fp32_dec pseudo_diff_exp2_minus_exp1_fp32_hex pseudo_diff_exp2_minus_exp1_fp32_dec
VALUES_BEGIN
000 0x3a840400 0.00100719929 00000000 0 0 000000 00000000 0 0 00000 0x3a840400 0.00100719929 0x3a840400 0.00100719929 0x00000000 0
001 0xbb00bfc0 -0.00196455419 10000000 0 0 000000 10000000 0 0 00000 0xbb00bfc0 -0.00196455419 0xbb00bfc0 -0.00196455419 0x00000000 0
002 0xbf013fc0 -0.504878998 10100000 0 32 100000 11000000 2 0 00000 0xbb9fe000 -0.0048789978 0xbb9fe000 -0.0048789978 0x00000000 0
003 0xbd037f80 -0.0321040154 10000010 0 2 000010 10000100 0 4 00100 0xba5fe000 -0.00085401535 0xba5fe000 -0.00085401535 0x80000000 -0
004 0x3e47f800 0.195281982 00001100 0 12 001100 00011000 0 24 11000 0x3bff0000 0.00778198242 0x3bff0000 0.00778198242 0x80000000 -0
005 0xbc058080 -0.00814831257 10000000 0 0 000000 10000001 0 1 00001 0xbc058080 -0.00814831257 0xb9b01000 -0.000335812569 0xbf800000 -1
006 0x3e33fc00 0.175765991 00001011 0 11 001011 00010110 0 22 10110 0x3b7f0000 0.00389099121 0x3b7f0000 0.00389099121 0x80000000 -0
007 0xbe03bfc0 -0.128661156 10001000 0 8 001000 10010000 0 16 10000 0xbb6ff000 -0.0036611557 0xbb6ff000 -0.0036611557 0x80000000 -0
008 0x3d07f800 0.0331954956 00000010 0 2 000010 00000100 0 4 00100 0x3aff0000 0.00194549561 0x3aff0000 0.00194549561 0x80000000 -0
009 0x3bcbfc00 0.0062251091 00000000 0 0 000000 00000000 0 0 00000 0x3bcbfc00 0.0062251091 0x3bcbfc00 0.0062251091 0x00000000 0
010 0xbc0a7f80 -0.00845324993 10000000 0 0 000000 10000001 0 1 00001 0xbc0a7f80 -0.00845324993 0xba27f800 -0.000640749931 0xbf800000 -1
011 0x3f85c040 1.0449295 01000010 1 2 000010 01100001 3 1 00001 0x3c602000 0.0136795044 0x3c602000 0.0136795044 0x00000000 0
012 0x3bb1fe00 0.00543189049 00000000 0 0 000000 00000000 0 0 00000 0x3bb1fe00 0.00543189049 0x3bb1fe00 0.00543189049 0x00000000 0
013 0xbc35fe00 -0.0111079216 10000000 0 0 000000 10000001 0 1 00001 0xbc35fe00 -0.0111079216 0xbb57f800 -0.0032954216 0xc0000000 -2
014 0x3fe7f800 1.81225586 01110011 1 51 110011 01111001 3 25 11001 0x3c7c0000 0.0153808594 0x3cfe0000 0.0310058594 0x40400000 3
015 0xbaf7f800 -0.00189185143 10000000 0 0 000000 10000000 0 0 00000 0xbaf7f800 -0.00189185143 0xbaf7f800 -0.00189185143 0x00000000 0
016 0x3e084040 0.133057594 00001000 0 8 001000 00010001 0 17 10001 0x3c040400 0.0080575943 0x39808000 0.000245094299 0xbf800000 -1
017 0xbd45fe00 -0.0483379364 10000011 0 3 000011 10000110 0 6 00110 0xbabfc000 -0.0014629364 0xbabfc000 -0.0014629364 0x80000000 -0
018 0x3b128080 0.0022354424 00000000 0 0 000000 00000000 0 0 00000 0x3b128080 0.0022354424 0x3b128080 0.0022354424 0x00000000 0
019 0x3d937f80 0.0720205307 00000100 0 4 000100 00001001 0 9 01001 0x3c1bfc00 0.0095205307 0x3adfe000 0.0017080307 0xbf800000 -1
020 0x3bd1fe00 0.00640845299 00000000 0 0 000000 00000000 0 0 00000 0x3bd1fe00 0.00640845299 0x3bd1fe00 0.00640845299 0x00000000 0
021 0xbf8abfc0 -1.08397675 11000101 1 5 000101 11100010 3 2 00010 0xbbbfc000 -0.00585174561 0xbcaff000 -0.0214767456 0x40000000 2
022 0x3a968080 0.00114823878 00000000 0 0 000000 00000000 0 0 00000 0x3a968080 0.00114823878 0x3a968080 0.00114823878 0x00000000 0
023 0x3e5e0200 0.216804504 00001101 0 13 001101 00011011 0 27 11011 0x3c602000 0.0136795044 0x3bc04000 0.00586700439 0xc0400000 -3
024 0x3fc3fc00 1.53112793 01100001 1 33 100001 01110000 3 16 10000 0x3c7e0000 0.0155029297 0x3cff0000 0.0311279297 0x40400000 3
025 0x3e980800 0.296936035 00010011 0 19 010011 00100110 1 6 00110 0x38800000 6.10351562e-05 0x38800000 6.10351562e-05 0x80000000 -0
026 0x3da7f800 0.0820159912 00000101 0 5 000101 00001010 0 10 01010 0x3b7f0000 0.00389099121 0x3b7f0000 0.00389099121 0x80000000 -0
027 0xbeee0200 -0.464859009 10011101 0 29 011101 10111011 1 27 11011 0xbc404000 -0.0117340088 0xbb808000 -0.00392150879 0xc0000000 -2
028 0x3bf20200 0.00738549232 00000000 0 0 000000 00000000 0 0 00000 0x3bf20200 0.00738549232 0x3bf20200 0.00738549232 0x00000000 0
029 0xbb0ebfc0 -0.00217817724 10000000 0 0 000000 10000000 0 0 00000 0xbb0ebfc0 -0.00217817724 0xbb0ebfc0 -0.00217817724 0x00000000 0
030 0x3d8f3fc0 0.0699458122 00000100 0 4 000100 00001000 0 8 01000 0x3bf3fc00 0.00744581223 0x3bf3fc00 0.00744581223 0x80000000 -0
031 0x3e7bfc00 0.246078491 00001111 0 15 001111 00011111 0 31 11111 0x3c3fc000 0.0117034912 0x3b7f0000 0.00389099121 0xc0000000 -2
032 0x3b040400 0.00201439857 00000000 0 0 000000 00000000 0 0 00000 0x3b040400 0.00201439857 0x3b040400 0.00201439857 0x00000000 0
033 0x3d10bfc0 0.0353391171 00000010 0 2 000010 00000100 0 4 00100 0x3b85fe00 0.00408911705 0x3b85fe00 0.00408911705 0x80000000 -0
034 0xbac50100 -0.00150302052 10000000 0 0 000000 10000000 0 0 00000 0xbac50100 -0.00150302052 0xbac50100 -0.00150302052 0x00000000 0
035 0xba8dfe00 -0.00108331442 10000000 0 0 000000 10000000 0 0 00000 0xba8dfe00 -0.00108331442 0xba8dfe00 -0.00108331442 0x00000000 0
036 0x3fc80800 1.56274414 01100100 1 36 100100 01110010 3 18 10010 0x39800000 0.000244140625 0x39800000 0.000244140625 0x00000000 0
037 0x3b15fe00 0.00228869915 00000000 0 0 000000 00000000 0 0 00000 0x3b15fe00 0.00228869915 0x3b15fe00 0.00228869915 0x00000000 0
038 0xbe1a0200 -0.150398254 10001001 0 9 001001 10010011 0 19 10011 0xbc202000 -0.00977325439 0xbb008000 -0.00196075439 0xc0000000 -2
039 0xbdceff00 -0.101072311 10000110 0 6 000110 10001100 0 12 01100 0xbbeff000 -0.0073223114 0xbbeff000 -0.0073223114 0x80000000 -0
040 0x3c080800 0.0083026886 00000000 0 0 000000 00000001 0 1 00001 0x3c080800 0.0083026886 0x3a008000 0.000490188599 0xbf800000 -1
041 0xbfa98080 -1.32423401 11010100 1 20 010100 11101010 3 10 01010 0xbc404000 -0.0117340088 0xbc404000 -0.0117340088 0x00000000 0
042 0x3bd3fc00 0.00646924973 00000000 0 0 000000 00000000 0 0 00000 0x3bd3fc00 0.00646924973 0x3bd3fc00 0.00646924973 0x00000000 0
043 0xbbab8080 -0.00523382425 10000000 0 0 000000 10000000 0 0 00000 0xbbab8080 -0.00523382425 0xbbab8080 -0.00523382425 0x00000000 0
044 0xbec7f800 -0.390563965 10011000 0 24 011000 10110001 1 17 10001 0xbc7f0000 -0.0155639648 0xbbfe0000 -0.00775146484 0xc0400000 -3
045 0x3edb0100 0.427742004 00011011 0 27 011011 00110110 1 22 10110 0x3bc04000 0.00586700439 0x3bc04000 0.00586700439 0x80000000 -0
046 0xbcb9fe00 -0.0227041245 10000001 0 1 000001 10000010 0 2 00010 0xbbe7f800 -0.00707912445 0xbbe7f800 -0.00707912445 0x80000000 -0
047 0x3aaf8080 0.00133897364 00000000 0 0 000000 00000000 0 0 00000 0x3aaf8080 0.00133897364 0x3aaf8080 0.00133897364 0x00000000 0
048 0x3f184040 0.594730377 00100110 0 38 100110 01000110 2 6 00110 0x3a808000 0.000980377197 0x3a808000 0.000980377197 0x00000000 0
049 0xbbb18080 -0.00541692972 10000000 0 0 000000 10000000 0 0 00000 0xbbb18080 -0.00541692972 0xbbb18080 -0.00541692972 0x00000000 0
050 0x3d27f800 0.0410079956 00000010 0 2 000010 00000101 0 5 00101 0x3c1fe000 0.00975799561 0x3aff0000 0.00194549561 0xbf800000 -1
051 0xbab38080 -0.00136949122 10000000 0 0 000000 10000000 0 0 00000 0xbab38080 -0.00136949122 0xbab38080 -0.00136949122 0x00000000 0
052 0x3e347f80 0.176267624 00001011 0 11 001011 00010110 0 22 10110 0x3b8ff000 0.0043926239 0x3b8ff000 0.0043926239 0x80000000 -0
053 0x3fd7f800 1.68725586 01101011 1 43 101011 01110101 3 21 10101 0x3c7c0000 0.0153808594 0x3cfe0000 0.0310058594 0x40400000 3
054 0xbb340400 -0.00274682045 10000000 0 0 000000 10000000 0 0 00000 0xbb340400 -0.00274682045 0xbb340400 -0.00274682045 0x00000000 0
055 0xbeddfe00 -0.433578491 10011011 0 27 011011 10110111 1 23 10111 0xbc3fc000 -0.0117034912 0xbb7f0000 -0.00389099121 0xc0000000 -2
056 0xbe61fe00 -0.220695496 10001110 0 14 001110 10011100 0 28 11100 0xbaff0000 -0.00194549561 0xbaff0000 -0.00194549561 0x80000000 -0
057 0xbbb97f80 -0.00566095114 10000000 0 0 000000 10000000 0 0 00000 0xbbb97f80 -0.00566095114 0xbbb97f80 -0.00566095114 0x00000000 0
058 0x3bf50100 0.00747692585 00000000 0 0 000000 00000000 0 0 00000 0x3bf50100 0.00747692585 0x3bf50100 0.00747692585 0x00000000 0
059 0xbe770100 -0.241214752 10001111 0 15 001111 10011110 0 30 11110 0xbbe02000 -0.0068397522 0xbbe02000 -0.0068397522 0x80000000 -0
060 0x3ce3fc00 0.0278301239 00000001 0 1 000001 00000011 0 3 00011 0x3c47f800 0.0122051239 0x3b8ff000 0.0043926239 0xc0000000 -2
061 0xbbbd7f80 -0.00578302145 10000000 0 0 000000 10000000 0 0 00000 0xbbbd7f80 -0.00578302145 0xbbbd7f80 -0.00578302145 0x00000000 0
062 0xbbbe8080 -0.00581365824 10000000 0 0 000000 10000000 0 0 00000 0xbbbe8080 -0.00581365824 0xbbbe8080 -0.00581365824 0x00000000 0
063 0x3e3f8080 0.187013626 00001011 0 11 001011 00010111 0 23 10111 0x3c780800 0.0151386261 0x3bf01000 0.0073261261 0xc0400000 -3
064 0xbe408080 -0.187990189 10001100 0 12 001100 10011000 0 24 11000 0xba008000 -0.000490188599 0xba008000 -0.000490188599 0x80000000 -0
065 0xbfc17f80 -1.51170349 11100000 1 32 100000 11110000 3 16 10000 0xbc3fc000 -0.0117034912 0xbc3fc000 -0.0117034912 0x00000000 0
066 0x3aa14040 0.00123024732 00000000 0 0 000000 00000000 0 0 00000 0x3aa14040 0.00123024732 0x3aa14040 0.00123024732 0x00000000 0
067 0x3cb7f800 0.0224571228 00000001 0 1 000001 00000010 0 2 00010 0x3bdfe000 0.0068321228 0x3bdfe000 0.0068321228 0x80000000 -0
068 0xbd120200 -0.0356464386 10000010 0 2 000010 10000100 0 4 00100 0xbb901000 -0.0043964386 0xbb901000 -0.0043964386 0x80000000 -0
069 0x3b2c0400 0.00262475014 00000000 0 0 000000 00000000 0 0 00000 0x3b2c0400 0.00262475014 0x3b2c0400 0.00262475014 0x00000000 0
070 0x3bb40400 0.0054936409 00000000 0 0 000000 00000000 0 0 00000 0x3bb40400 0.0054936409 0x3bb40400 0.0054936409 0x00000000 0
071 0xbb8eff00 -0.00436389446 10000000 0 0 000000 10000000 0 0 00000 0xbb8eff00 -0.00436389446 0xbb8eff00 -0.00436389446 0x00000000 0
072 0x3bc40400 0.00598192215 00000000 0 0 000000 00000000 0 0 00000 0x3bc40400 0.00598192215 0x3bc40400 0.00598192215 0x00000000 0
073 0xbc4c0400 -0.0124521255 10000000 0 0 000000 10000001 0 1 00001 0xbc4c0400 -0.0124521255 0xbb980800 -0.00463962555 0xc0000000 -2
074 0x3e27f800 0.164031982 00001010 0 10 001010 00010100 0 20 10100 0x3bff0000 0.00778198242 0x3bff0000 0.00778198242 0x80000000 -0
075 0xbe2e0200 -0.169929504 10001010 0 10 001010 10010101 0 21 10101 0xbc602000 -0.0136795044 0xbbc04000 -0.00586700439 0xc0400000 -3
076 0xbdcc8080 -0.0998544693 10000110 0 6 000110 10001100 0 12 01100 0xbbc80800 -0.0061044693 0xbbc80800 -0.0061044693 0x80000000 -0
077 0xbd4d8080 -0.0501713753 10000011 0 3 000011 10000110 0 6 00110 0xbb580800 -0.00329637527 0xbb580800 -0.00329637527 0x80000000 -0
078 0x3fce8080 1.61329651 01100111 1 39 100111 01110011 3 19 10011 0x3b808000 0.00392150879 0x3ca02000 0.0195465088 0x40000000 2
079 0x3fa7bfc0 1.31053925 01010011 1 19 010011 01101001 3 9 01001 0x3c5fe000 0.0136642456 0x3ceff000 0.0292892456 0x40400000 3
080 0x3cd07f80 0.0254514217 00000001 0 1 000001 00000011 0 3 00011 0x3c20ff00 0.00982642174 0x3b03fc00 0.00201392174 0xc0000000 -2
081 0xbc460200 -0.0120854378 10000000 0 0 000000 10000001 0 1 00001 0xbc460200 -0.0120854378 0xbb8c0400 -0.00427293777 0xc0000000 -2
082 0xbf293fc0 -0.661128998 10101010 0 42 101010 11001010 2 10 01010 0xbb9fe000 -0.0048789978 0xbb9fe000 -0.0048789978 0x00000000 0
083 0xbb270100 -0.00254827738 10000000 0 0 000000 10000000 0 0 00000 0xbb270100 -0.00254827738 0xbb270100 -0.00254827738 0x00000000 0
084 0x3d548080 0.0518803596 00000011 0 3 000011 00000110 0 6 00110 0x3ba40400 0.00500535965 0x3ba40400 0.00500535965 0x80000000 -0
085 0xbc57f800 -0.0131816864 10000000 0 0 000000 10000001 0 1 00001 0xbc57f800 -0.0131816864 0xbbaff000 -0.0053691864 0xc0000000 -2
086 0x3fb40400 1.40637207 01011010 1 26 011010 01101101 3 13 01101 0x39000000 0.000122070312 0x39000000 0.000122070312 0x00000000 0
087 0xbed78080 -0.420902252 10011010 0 26 011010 10110101 1 21 10101 0xbc701000 -0.0146522522 0xbbe02000 -0.0068397522 0xc0400000 -3
088 0xbeac4040 -0.336427689 10010101 0 21 010101 10101011 1 11 01011 0xbc080800 -0.0083026886 0xba008000 -0.000490188599 0xbf800000 -1
089 0x3d97f800 0.0742034912 00000100 0 4 000100 00001001 0 9 01001 0x3c3fc000 0.0117034912 0x3b7f0000 0.00389099121 0xc0000000 -2
090 0xbbd3fc00 -0.00646924973 10000000 0 0 000000 10000000 0 0 00000 0xbbd3fc00 -0.00646924973 0xbbd3fc00 -0.00646924973 0x00000000 0
091 0x3c5bfc00 0.0134267807 00000000 0 0 000000 00000001 0 1 00001 0x3c5bfc00 0.0134267807 0x3bb7f800 0.0056142807 0xc0000000 -2
092 0xbdb8ff00 -0.0903301239 10000101 0 5 000101 10001011 0 11 01011 0xbc47f800 -0.0122051239 0xbb8ff000 -0.0043926239 0xc0000000 -2
093 0x3df5fe00 0.120113373 00000111 0 7 000111 00001111 0 15 01111 0x3c2ff000 0.0107383728 0x3b3fc000 0.0029258728 0xc0000000 -2
094 0x3abcff00 0.00144192576 00000000 0 0 000000 00000000 0 0 00000 0x3abcff00 0.00144192576 0x3abcff00 0.00144192576 0x00000000 0
095 0x3bfbfc00 0.00768995285 00000000 0 0 000000 00000000 0 0 00000 0x3bfbfc00 0.00768995285 0x3bfbfc00 0.00768995285 0x00000000 0
096 0xbc07f800 -0.0082988739 10000000 0 0 000000 10000001 0 1 00001 0xbc07f800 -0.0082988739 0xb9ff0000 -0.000486373901 0xbf800000 -1
097 0xbc860200 -0.0163583755 10000001 0 1 000001 10000010 0 2 00010 0xba404000 -0.000733375549 0xba404000 -0.000733375549 0x80000000 -0
098 0xbfa7f800 -1.31225586 11010011 1 19 010011 11101001 3 9 01001 0xbc7c0000 -0.0153808594 0xbcfe0000 -0.0310058594 0x40400000 3
099 0x3bc6ff00 0.00607287884 00000000 0 0 000000 00000000 0 0 00000 0x3bc6ff00 0.00607287884 0x3bc6ff00 0.00607287884 0x00000000 0
100 0xbab23fc0 -0.00135993212 10000000 0 0 000000 10000000 0 0 00000 0xbab23fc0 -0.00135993212 0xbab23fc0 -0.00135993212 0x00000000 0
101 0x3cb2c040 0.0218201876 00000001 0 1 000001 00000010 0 2 00010 0x3bcb0100 0.00619518757 0x3bcb0100 0.00619518757 0x80000000 -0
102 0x3e67f800 0.226531982 00001110 0 14 001110 00011100 0 28 11100 0x3bff0000 0.00778198242 0x3bff0000 0.00778198242 0x80000000 -0
103 0x3f677f80 0.904289246 00111001 0 57 111001 01011001 2 25 11001 0x3c5fe000 0.0136642456 0x3c5fe000 0.0136642456 0x00000000 0
104 0x3e510100 0.204105377 00001101 0 13 001101 00011010 0 26 11010 0x3a808000 0.000980377197 0x3a808000 0.000980377197 0x80000000 -0
105 0xbf25fe00 -0.648406982 10101001 0 41 101001 11001001 2 9 01001 0xbbff0000 -0.00778198242 0xbbff0000 -0.00778198242 0x00000000 0
106 0xbeea8080 -0.458011627 10011101 0 29 011101 10111010 1 26 11010 0xbba02000 -0.0048866272 0xbba02000 -0.0048866272 0x80000000 -0
107 0x3eb5bfc0 0.354978561 00010110 0 22 010110 00101101 1 13 01101 0x3c37f800 0.0112285614 0x3b5fe000 0.0034160614 0xc0000000 -2
108 0xbed90100 -0.423835754 10011011 0 27 011011 10110110 1 22 10110 0xbb008000 -0.00196075439 0xbb008000 -0.00196075439 0x80000000 -0
109 0x3c360200 0.0111088753 00000000 0 0 000000 00000001 0 1 00001 0x3c360200 0.0111088753 0x3b580800 0.00329637527 0xc0000000 -2
110 0xbcb74040 -0.022369504 10000001 0 1 000001 10000010 0 2 00010 0xbbdd0100 -0.00674450397 0xbbdd0100 -0.00674450397 0x80000000 -0
111 0xbc6f8080 -0.0146180391 10000000 0 0 000000 10000001 0 1 00001 0xbc6f8080 -0.0146180391 0xbbdf0100 -0.00680553913 0xc0400000 -3
112 0x3f707f80 0.939445496 00111100 0 60 111100 01011100 2 28 11100 0x3aff0000 0.00194549561 0x3aff0000 0.00194549561 0x00000000 0
113 0x3d8bfc00 0.0683517456 00000100 0 4 000100 00001000 0 8 01000 0x3bbfc000 0.00585174561 0x3bbfc000 0.00585174561 0x80000000 -0
114 0x3f140400 0.578186035 00100101 0 37 100101 01000101 2 5 00101 0x38800000 6.10351562e-05 0x38800000 6.10351562e-05 0x00000000 0
115 0xbc380800 -0.0112323761 10000000 0 0 000000 10000001 0 1 00001 0xbc380800 -0.0112323761 0xbb602000 -0.0034198761 0xc0000000 -2
116 0xbbf48080 -0.00746160746 10000000 0 0 000000 10000000 0 0 00000 0xbbf48080 -0.00746160746 0xbbf48080 -0.00746160746 0x00000000 0
117 0x3e2bfc00 0.167953491 00001010 0 10 001010 00010101 0 21 10101 0x3c3fc000 0.0117034912 0x3b7f0000 0.00389099121 0xc0000000 -2
118 0xbcf68080 -0.0300905704 10000001 0 1 000001 10000011 0 3 00011 0xbc6d0100 -0.0144655704 0xbbda0200 -0.00665307045 0xc0400000 -3
119 0xbdf77f80 -0.120848656 10000111 0 7 000111 10001111 0 15 01111 0xbc3bfc00 -0.0114736557 0xbb6ff000 -0.0036611557 0xc0000000 -2
120 0xbcf88080 -0.0303347111 10000001 0 1 000001 10000011 0 3 00011 0xbc710100 -0.0147097111 0xbbe20200 -0.00689721107 0xc0400000 -3
121 0xbf797f80 -0.974601746 10111110 0 62 111110 11011110 2 30 11110 0xbbbfc000 -0.00585174561 0xbbbfc000 -0.00585174561 0x00000000 0
122 0xbfa80800 -1.31274414 11010100 1 20 010100 11101010 3 10 01010 0xb9800000 -0.000244140625 0xb9800000 -0.000244140625 0x00000000 0
123 0xbbf6ff00 -0.00753772259 10000000 0 0 000000 10000000 0 0 00000 0xbbf6ff00 -0.00753772259 0xbbf6ff00 -0.00753772259 0x00000000 0
124 0xbec80800 -0.390686035 10011001 0 25 011001 10110010 1 18 10010 0xb8800000 -6.10351562e-05 0xb8800000 -6.10351562e-05 0x80000000 -0
125 0xbed7f800 -0.421813965 10011010 0 26 011010 10110101 1 21 10101 0xbc7f0000 -0.0155639648 0xbbfe0000 -0.00775146484 0xc0400000 -3
126 0x3df40400 0.119148254 00000111 0 7 000111 00001111 0 15 01111 0x3c202000 0.00977325439 0x3b008000 0.00196075439 0xc0000000 -2
127 0xbb7f0100 -0.00389105082 10000000 0 0 000000 10000000 0 0 00000 0xbb7f0100 -0.00389105082 0xbb7f0100 -0.00389105082 0x00000000 0
VALUES_END
END_CHUNK 86
BEGIN_CHUNK 87
err_exp1 0.00398545247
err_exp2 0.00229687453
chunk_diff_exp2_minus_exp1 -35
expected_e1_wins 3
expected_e2_wins 38
expected_e2_wins_shifted 9
expected_e2_wins_shift2 9
expected_decision exp2
expected_error 0x3b168729 0.00229687453
chunk_max_abs_index 114
chunk_max_abs_scaled_value 0xbfe547e7 -1.79125679
chunk_max_abs_scaled_abs 0x3fe547e7 1.79125679
