

# Dashboard date run: 20260506_063522_dashboard_experiment_hybrid_resnext101_64x4d
# Started: 2026-05-06 06:35:22
$ /usr/bin/python /data/almog/Projects/QBench-Release/runspace/experiments/find_optimal_hybrid_quant/find_optimal_hybrid_quant.py --model_name resnext101_64x4d --weights DEFAULT --dataset_name imagenet --dataset_path /data/imagenet/val --batch_size 64 --num_workers 8 --limit_batches -1 --output_dir /data/almog/Projects/QBench-Release/runspace/experiments/find_optimal_hybrid_quant/results --weight_mode optimized --weight_metric mse --weight_candidate_formats fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1,fp8_e7m0 --weight_chunk_size 128 --input_mode dynamic --input_metric mse --input_candidate_formats fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1,fp8_e7m0 --input_chunk_size 128 --unsigned_input_sources quantsoftmax,softmax,relu,quantrelu --dynamic_unsigned_input_candidates --per_chunk_format --use_cache_sim_db

Using device: cuda
Processing 1 model(s).
Runner initialized on device: cuda
/usr/local/lib/python3.12/dist-packages/torch/__init__.py:1605: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)

============================================================
 HYBRID EXPERIMENT: resnext101_64x4d
  Weight Mode  : optimized
  Weight Metric: mse
  Weight Cands : ['fp8_e1m6', 'fp8_e2m5', 'fp8_e3m4', 'fp8_e4m3', 'fp8_e5m2', 'fp8_e6m1', 'fp8_e7m0']
  Input Mode   : dynamic
  Input Metric : mse
  Input Cands  : ['fp8_e1m6', 'fp8_e2m5', 'fp8_e3m4', 'fp8_e4m3', 'fp8_e5m2', 'fp8_e6m1', 'fp8_e7m0']
============================================================

[CacheSim] Model 'resnext101_64x4d' not found in cache simulation database.
[CacheSim] Triggering automatic cache simulation...
--- ASIC Cache Simulation ---
Model:         resnext101_64x4d
Cache Size:    2.000M elements  (16 banks × 125.0K elements)
Metadata Bits: 0 per 128-bit chunk
Batch Size:    1
Auto-detected model source: torchvision

Layer Name                                    | Type           |       Input |     Weights |      Output |      Banked |     NextXin | OnChip  | Reason
layer3.10.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_17                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.10.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.11.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.11.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.11.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.11.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.11.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.11.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.11.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.11.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_18                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.11.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.12.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.12.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.12.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.12.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.12.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.12.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.12.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.12.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_19                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.12.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.13.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.13.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.13.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.13.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.13.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.13.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.13.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.13.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_20                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.13.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.14.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.14.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.14.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.14.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.14.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.14.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.14.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.14.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_21                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.14.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.15.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.15.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.15.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.15.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.15.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.15.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.15.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.15.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_22                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.15.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.16.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.16.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.16.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.16.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.16.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.16.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.16.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.16.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_23                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.16.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.17.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.17.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.17.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.17.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.17.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.17.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.17.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.17.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_24                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.17.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.18.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.18.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.18.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.18.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.18.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.18.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.18.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.18.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_25                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.18.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.19.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.19.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.19.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.19.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.19.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.19.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.19.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.19.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_26                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.19.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.20.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.20.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.20.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.20.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.20.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.20.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.20.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.20.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_27                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.20.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.21.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.21.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.21.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.21.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.21.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.21.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.21.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.21.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_28                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.21.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.22.conv1                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.22.bn1                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.22.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.22.conv2                               | QuantConv2d    |      200.7K |      147.5K |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.22.bn2                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.22.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer3.22.conv3                               | QuantConv2d    |      200.7K |      1.049M |      200.7K |      250.0K |      250.0K | yes     | conv_output_dominated
layer3.22.bn3                                 | QuantBatchNorm2d |      200.7K |        1.0K |      200.7K |      250.0K |      250.0K | yes     | global_fit
add_29                                        | QuantAdd       |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | residual
layer3.22.relu                                | QuantReLU      |      200.7K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer4.0.conv1                                | QuantConv2d    |      200.7K |      2.097M |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer4.0.bn1                                  | QuantBatchNorm2d |      401.4K |        2.0K |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer4.0.relu                                 | QuantReLU      |      401.4K |           0 |      401.4K |      500.0K |      500.0K | yes     | global_fit
layer4.0.conv2                                | QuantConv2d    |      401.4K |      589.8K |      100.4K |      125.0K |      125.0K | yes     | conv_input_dominated
layer4.0.bn2                                  | QuantBatchNorm2d |      100.4K |        2.0K |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.0.relu                                 | QuantReLU      |      100.4K |           0 |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.0.conv3                                | QuantConv2d    |      100.4K |      4.194M |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.0.bn3                                  | QuantBatchNorm2d |      100.4K |        2.0K |      100.4K |      125.0K |      250.0K | yes     | global_fit
layer4.0.downsample.0                         | QuantConv2d    |      200.7K |      2.097M |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.0.downsample.1                         | QuantBatchNorm2d |      100.4K |        2.0K |      100.4K |      125.0K |      125.0K | yes     | global_fit
add_30                                        | QuantAdd       |      100.4K |           0 |      100.4K |      125.0K |      125.0K | yes     | residual
layer4.0.relu                                 | QuantReLU      |      100.4K |           0 |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.1.conv1                                | QuantConv2d    |      100.4K |      4.194M |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.1.bn1                                  | QuantBatchNorm2d |      100.4K |        2.0K |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.1.relu                                 | QuantReLU      |      100.4K |           0 |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.1.conv2                                | QuantConv2d    |      100.4K |      589.8K |      100.4K |      125.0K |      125.0K | yes     | conv_output_dominated
layer4.1.bn2                                  | QuantBatchNorm2d |      100.4K |        2.0K |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.1.relu                                 | QuantReLU      |      100.4K |           0 |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.1.conv3                                | QuantConv2d    |      100.4K |      4.194M |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.1.bn3                                  | QuantBatchNorm2d |      100.4K |        2.0K |      100.4K |      125.0K |      125.0K | yes     | global_fit
add_31                                        | QuantAdd       |      100.4K |           0 |      100.4K |      125.0K |      125.0K | yes     | residual
layer4.1.relu                                 | QuantReLU      |      100.4K |           0 |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.2.conv1                                | QuantConv2d    |      100.4K |      4.194M |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.2.bn1                                  | QuantBatchNorm2d |      100.4K |        2.0K |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.2.relu                                 | QuantReLU      |      100.4K |           0 |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.2.conv2                                | QuantConv2d    |      100.4K |      589.8K |      100.4K |      125.0K |      125.0K | yes     | conv_output_dominated
layer4.2.bn2                                  | QuantBatchNorm2d |      100.4K |        2.0K |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.2.relu                                 | QuantReLU      |      100.4K |           0 |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.2.conv3                                | QuantConv2d    |      100.4K |      4.194M |      100.4K |      125.0K |      125.0K | yes     | global_fit
layer4.2.bn3                                  | QuantBatchNorm2d |      100.4K |        2.0K |      100.4K |      125.0K |      125.0K | yes     | global_fit
add_32                                        | QuantAdd       |      100.4K |           0 |      100.4K |      125.0K |      125.0K | yes     | residual
layer4.2.relu                                 | QuantReLU      |      100.4K |           0 |      100.4K |      125.0K |      125.0K | yes     | global_fit
avgpool                                       | QuantAdaptiveAvgPool2d |      100.4K |           0 |        2.0K |      125.0K |      125.0K | yes     | global_fit
fc                                            | QuantLinear    |        2.0K |      2.048M |        1.0K |      125.0K |           0 | yes     | global_fit
-------------------------------------------------------------------------------------------------------------------------------------------------------
Total layers:              344
Layers marked QUANTIZE:    3
Layers FLAGGED (no rule):  0

Results saved to /data/almog/Projects/QBench-Release/runspace/experiments/asic_cache_simulation/simulation_results.json
[CacheSim] Stored simulation for resnext101_64x4d to DB.
[CacheSim] Simulation completed and uploaded to DB.

  Experiment Name: hybrid_quant_fp8/fp8_w_cache_sim
[FP32 ref] Found in DB: Top1=82.98%, Top5=96.26%

[Weights] Running optimized weight quantization (metric=mse) ...
Info: runtime weight quantization requested; forcing materialized weights rebuild to avoid stale FP32 cache reuse.
Auto-detected model source: torchvision
prepare_model_with_materialized_weights(file=/data/almog/Projects/QBench-Release/runspace/experiments/find_optimal_hybrid_quant/results/resnext101_64x4d/weight_phase_fp32/weights/materialized_weights.pt): state_dict validated (coverage=1.000, comparable=314/314, mismatched=0, max_abs_diff=0.000e+00)

[Weight Phase] Analysing weight tensors for metric: mse ...
Analyzing Layers (Weights): 0it [00:00, ?it/s]Analyzing Layers (Weights): 9it [00:00, 83.30it/s]Analyzing Layers (Weights): 18it [00:00, 72.38it/s]Analyzing Layers (Weights): 26it [00:00, 65.41it/s]Analyzing Layers (Weights): 33it [00:00, 58.86it/s]Analyzing Layers (Weights): 41it [00:00, 63.14it/s]Analyzing Layers (Weights): 48it [00:00, 62.58it/s]Analyzing Layers (Weights): 55it [00:00, 61.64it/s]Analyzing Layers (Weights): 62it [00:00, 61.01it/s]Analyzing Layers (Weights): 69it [00:01, 56.92it/s]Analyzing Layers (Weights): 77it [00:01, 60.38it/s]Analyzing Layers (Weights): 84it [00:01, 60.87it/s]Analyzing Layers (Weights): 91it [00:01, 60.63it/s]Analyzing Layers (Weights): 98it [00:01, 60.51it/s]Analyzing Layers (Weights): 105it [00:01, 57.18it/s]Analyzing Layers (Weights): 112it [00:01, 58.03it/s]Analyzing Layers (Weights): 119it [00:01, 58.67it/s]Analyzing Layers (Weights): 126it [00:02, 58.86it/s]Analyzing Layers (Weights): 132it [00:02, 56.58it/s]Analyzing Layers (Weights): 139it [00:02, 57.28it/s]Analyzing Layers (Weights): 145it [00:02, 55.96it/s]Analyzing Layers (Weights): 152it [00:02, 57.21it/s]Analyzing Layers (Weights): 159it [00:02, 58.14it/s]Analyzing Layers (Weights): 166it [00:02, 58.49it/s]Analyzing Layers (Weights): 172it [00:02, 56.72it/s]Analyzing Layers (Weights): 179it [00:03, 57.39it/s]Analyzing Layers (Weights): 185it [00:03, 56.04it/s]Analyzing Layers (Weights): 192it [00:03, 58.89it/s]Analyzing Layers (Weights): 199it [00:03, 59.30it/s]Analyzing Layers (Weights): 206it [00:03, 59.18it/s]Analyzing Layers (Weights): 212it [00:03, 56.78it/s]Analyzing Layers (Weights): 219it [00:03, 57.33it/s]Analyzing Layers (Weights): 225it [00:03, 55.62it/s]Analyzing Layers (Weights): 232it [00:03, 56.54it/s]Analyzing Layers (Weights): 239it [00:04, 57.60it/s]Analyzing Layers (Weights): 246it [00:04, 58.10it/s]Analyzing Layers (Weights): 252it [00:04, 56.07it/s]Analyzing Layers (Weights): 260it [00:04, 59.16it/s]Analyzing Layers (Weights): 266it [00:04, 55.90it/s]Analyzing Layers (Weights): 272it [00:04, 56.58it/s]Analyzing Layers (Weights): 278it [00:04, 57.07it/s]Analyzing Layers (Weights): 284it [00:04, 42.25it/s]Analyzing Layers (Weights): 320it [00:05, 63.76it/s]
Creating quantized state dict for metric mse...
[Weight Phase] Saved optimized quantized weights (mse) → /data/almog/Projects/QBench-Release/runspace/experiments/find_optimal_hybrid_quant/results/resnext101_64x4d/weights_mse/quantized_weights.pt
load_model_from_weight_file: building skeleton model with weights=None and loading from materialized checkpoint.
Auto-detected model source: torchvision
load_model_from_weight_file(file=/data/almog/Projects/QBench-Release/runspace/experiments/find_optimal_hybrid_quant/results/resnext101_64x4d/weights_mse/quantized_weights.pt): state_dict validated (coverage=1.000, comparable=314/314, mismatched=0, max_abs_diff=0.000e+00)
Label mapping: 1000/1000 classes matched to ImageNet canonical indices.

[Inference] Running Hybrid Setup: Weight=opt_wmse[per_chunkx209], Input=dyn_input_mse ...
Loading cache simulation results from DB for resnext101_64x4d
Loaded 278 layer statuses from cache sim DB.
Sample keys in cache sim map: ['conv1', 'bn1', 'relu', 'maxpool', 'layer1.0.conv1', 'layer1.0.bn1', 'layer1.0.relu', 'layer1.0.conv2', 'layer1.0.bn2', 'layer1.0.conv3']
Registered hooks on 278 layers: all layers use all 7 candidates (metric=MSE).
132 layers are using UFP candidates.
Input quantization enabled: mode=dynamic metric=mse chunk_size=128
