layer,x_in,x_out,total_cache_needed_kb,weight_stream,pipeline_boundary,jumpback,residual_0,residual_1,residual_2,residual_3,residual_4,residual_5,residual_6,residual_7,residual_8,residual_9,residual_10,residual_11,residual_12,residual_13,residual_14,residual_15,residual_16,residual_17,residual_18,residual_19,hold_0_conv_to_conv_cat,hold_1_qkv_to_mul_6_matmul_matmul_1,hold_2_qkv_to_mul_7_matmul_2_matmul_3,hold_3_conv_to_conv_cat_1,hold_4_qkv_to_mul_18_matmul_4_matmul_5,hold_5_qkv_to_mul_19_matmul_6_matmul_7,hold_6_qkv_to_mul_20_matmul_8_matmul_9,hold_7_qkv_to_mul_21_matmul_10_matmul_11,hold_8_conv_to_conv_cat_2,hold_9_qkv_to_mul_32_matmul_12_matmul_13,hold_10_qkv_to_mul_33_matmul_14_matmul_15,hold_11_qkv_to_mul_34_matmul_16_matmul_17
stages.4.1.transformer.1.norm2,0,125.0,625.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0
stages.4.1.transformer.1.mlp.fc1,125.0,125.0,750.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0
stages.4.1.transformer.1.mlp.fc2,125.0,125.0,750.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0
add_17,0,0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0
stages.4.1.transformer.2.norm1,0,125.0,625.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,125.0,0,0,0
stages.4.1.transformer.2.attn.qkv,125.0,125.0,750.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,125.0,0,0,0
mul_34,0,125.0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,125.0,0,0,125.0
matmul_16,125.0,125.0,625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,125.0,0,0,125.0
stages.4.1.transformer.2.attn.softmax,125.0,125.0,625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,125.0,0,0,125.0
matmul_17,125.0,125.0,625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,125.0,0,0,125.0
stages.4.1.transformer.2.attn.proj,125.0,125.0,750.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,125.0,0,0,0
add_18,0,0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,125.0,0,0,0
stages.4.1.transformer.2.norm2,0,125.0,625.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,125.0,0,0,0
stages.4.1.transformer.2.mlp.fc1,125.0,125.0,750.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,125.0,0,0,0
stages.4.1.transformer.2.mlp.fc2,125.0,125.0,750.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,125.0,0,0,0
add_19,0,0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,125.0,0,0,0
stages.4.1.norm,125.0,125.0,625.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0
stages.4.1.conv_proj.conv,125.0,0,750.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0
cat_2,0,125.0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0
stages.4.1.conv_fusion.conv,125.0,0,625.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
final_conv.conv,125.0,0,625.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
head.global_pool.pool,125.0,125.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
head.fc,125.0,125.0,500.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
